Date,Open,High,Low,Close,Volume,Category,count,pos,neg
2017-07-04,361500,363500,358000,358500,28430,4,1.0,1.0,0.0
2017-07-04,361500,363500,358000,358500,28430,5,1.0,1.0,0.0
2017-07-04,361500,363500,358000,358500,28430,6,1.0,1.0,0.0
2017-07-04,361500,363500,358000,358500,28430,7,1.0,1.0,0.0
2017-07-04,361500,363500,358000,358500,28430,8,1.0,1.0,0.0
2017-07-04,361500,363500,358000,358500,28430,9,1.0,1.0,0.0
2017-07-04,361500,363500,358000,358500,28430,10,1.0,1.0,0.0
2017-07-04,361500,363500,358000,358500,28430,11,1.0,1.0,0.0
2017-07-05,357500,359500,353500,354500,38771,2,,,
2017-07-05,357500,359500,353500,354500,38771,3,,,
2017-07-05,357500,359500,353500,354500,38771,4,,,
2017-07-05,357500,359500,353500,354500,38771,5,,,
2017-07-05,357500,359500,353500,354500,38771,6,,,
2017-07-05,357500,359500,353500,354500,38771,7,,,
2017-07-05,357500,359500,353500,354500,38771,8,,,
2017-07-05,357500,359500,353500,354500,38771,9,,,
2017-07-05,357500,359500,353500,354500,38771,10,,,
2017-07-05,357500,359500,353500,354500,38771,11,,,
2017-07-06,354000,360000,354000,360000,29849,2,,,
2017-07-06,354000,360000,354000,360000,29849,3,,,
2017-07-06,354000,360000,354000,360000,29849,4,,,
2017-07-06,354000,360000,354000,360000,29849,5,,,
2017-07-06,354000,360000,354000,360000,29849,6,,,
2017-07-06,354000,360000,354000,360000,29849,7,,,
2017-07-06,354000,360000,354000,360000,29849,8,,,
2017-07-06,354000,360000,354000,360000,29849,9,,,
2017-07-06,354000,360000,354000,360000,29849,10,,,
2017-07-06,354000,360000,354000,360000,29849,11,,,
2017-07-07,360000,360000,354500,357000,31438,2,1.0,1.0,0.0
2017-07-07,360000,360000,354500,357000,31438,3,1.0,1.0,0.0
2017-07-07,360000,360000,354500,357000,31438,4,1.0,1.0,0.0
2017-07-07,360000,360000,354500,357000,31438,5,1.0,1.0,0.0
2017-07-07,360000,360000,354500,357000,31438,6,1.0,1.0,0.0
2017-07-07,360000,360000,354500,357000,31438,7,1.0,1.0,0.0
2017-07-07,360000,360000,354500,357000,31438,8,1.0,1.0,0.0
2017-07-07,360000,360000,354500,357000,31438,9,1.0,1.0,0.0
2017-07-07,360000,360000,354500,357000,31438,10,1.0,1.0,0.0
2017-07-07,360000,360000,354500,357000,31438,11,1.0,1.0,0.0
2017-07-10,357000,357000,351500,352500,29975,2,2.0,0.0,0.0
2017-07-10,357000,357000,351500,352500,29975,3,2.0,0.0,0.0
2017-07-10,357000,357000,351500,352500,29975,4,2.0,0.0,0.0
2017-07-10,357000,357000,351500,352500,29975,5,2.0,0.0,0.0
2017-07-10,357000,357000,351500,352500,29975,6,2.0,0.0,0.0
2017-07-10,357000,357000,351500,352500,29975,7,2.0,0.0,0.0
2017-07-10,357000,357000,351500,352500,29975,8,2.0,0.0,0.0
2017-07-10,357000,357000,351500,352500,29975,9,2.0,0.0,0.0
