date,open,high,low,close,volume,roe,per,pbr,Date,Category,count,pos,neg
2014-03-04,272000,273000,267500,269500,44828,8.6,22.2,1.1,2014-03-04,3,5.0,3.0,2.0
2014-03-04,272000,273000,267500,269500,44828,8.6,22.2,1.1,2014-03-04,4,5.0,3.0,2.0
2014-03-04,272000,273000,267500,269500,44828,8.6,22.2,1.1,2014-03-04,5,5.0,3.0,2.0
2014-03-04,272000,273000,267500,269500,44828,8.6,22.2,1.1,2014-03-04,6,5.0,3.0,2.0
2014-03-04,272000,273000,267500,269500,44828,8.6,22.2,1.1,2014-03-04,7,5.0,3.0,2.0
2014-03-04,272000,273000,267500,269500,44828,8.6,22.2,1.1,2014-03-04,8,5.0,3.0,2.0
2014-03-04,272000,273000,267500,269500,44828,8.6,22.2,1.1,2014-03-04,9,5.0,3.0,2.0
2014-03-04,272000,273000,267500,269500,44828,8.6,22.2,1.1,2014-03-04,10,5.0,3.0,2.0
2014-03-04,272000,273000,267500,269500,44828,8.6,22.2,1.1,2014-03-04,11,5.0,3.0,2.0
2014-03-05,272000,273500,267500,270500,54680,8.6,22.2,1.1,2014-03-05,2,1.0,0.0,1.0
2014-03-05,272000,273500,267500,270500,54680,8.6,22.2,1.1,2014-03-05,3,1.0,0.0,1.0
2014-03-05,272000,273500,267500,270500,54680,8.6,22.2,1.1,2014-03-05,4,1.0,0.0,1.0
2014-03-05,272000,273500,267500,270500,54680,8.6,22.2,1.1,2014-03-05,5,1.0,0.0,1.0
2014-03-05,272000,273500,267500,270500,54680,8.6,22.2,1.1,2014-03-05,6,1.0,0.0,1.0
2014-03-05,272000,273500,267500,270500,54680,8.6,22.2,1.1,2014-03-05,7,1.0,0.0,1.0
2014-03-05,272000,273500,267500,270500,54680,8.6,22.2,1.1,2014-03-05,8,1.0,0.0,1.0
2014-03-05,272000,273500,267500,270500,54680,8.6,22.2,1.1,2014-03-05,9,1.0,0.0,1.0
2014-03-05,272000,273500,267500,270500,54680,8.6,22.2,1.1,2014-03-05,10,1.0,0.0,1.0
2014-03-05,272000,273500,267500,270500,54680,8.6,22.2,1.1,2014-03-05,11,1.0,0.0,1.0
2014-03-06,270500,280500,269000,280500,107623,8.6,22.2,1.1,2014-03-06,2,2.0,1.0,1.0
2014-03-06,270500,280500,269000,280500,107623,8.6,22.2,1.1,2014-03-06,3,2.0,1.0,1.0
2014-03-06,270500,280500,269000,280500,107623,8.6,22.2,1.1,2014-03-06,4,2.0,1.0,1.0
2014-03-06,270500,280500,269000,280500,107623,8.6,22.2,1.1,2014-03-06,5,2.0,1.0,1.0
